context;influencer;regular_node_set_unique;regular_node_set_grouped;new_activations
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;0;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;1;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;2;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;3;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;4;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;5;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;6;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;7;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;8;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;9;[9, 5];[9, 5];2
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;0;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;1;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;2;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;3;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;4;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;5;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;6;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;7;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;8;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;9;[4, 6, 7];[4, 6, 7];3
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;0;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;1;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;2;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;3;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;4;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;5;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;6;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;7;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;8;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;9;[8, 4, 6, 7];[8, 4, 6, 7];4
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;0;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;1;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;2;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;3;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;4;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;5;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;6;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;7;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;8;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;9;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;0;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;1;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;2;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;3;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;4;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;5;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;6;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;7;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;8;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;9;[3, 4, 5];[3, 4, 5];3
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;0;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;1;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;2;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;3;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;4;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;5;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;6;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;7;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;8;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
-0.002652735409724283 0.0005009385018085233 0.0007524587493072055 -0.0034277152077200946 -0.004213676860177795 0.006213230922038582 0.007200137711148957 0.010827488315610468 -0.016978683075640745 -0.00538829845935942;9;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;0;[3, 4];[3, 4];2
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;1;[3, 4];[3, 4];2
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;2;[3, 4];[3, 4];2
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;3;[3, 4];[3, 4];2
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;4;[3, 4];[3, 4];2
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;5;[3, 4];[3, 4];2
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;6;[3, 4];[3, 4];2
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;7;[3, 4];[3, 4];2
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;8;[3, 4];[3, 4];2
0.0027271511963970598 -0.00025749324215493805 0.001706828053779841 -0.0026431590294427433 -0.004240561421766875 0.003129866549653437 0.005744785896756288 0.01003420369892447 -0.01951568722897219 -0.003793059937144139;9;[3, 4];[3, 4];2
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;0;[1, 6, 9];[1, 6, 9];3
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;1;[1, 6, 9];[1, 6, 9];3
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;2;[1, 6, 9];[1, 6, 9];3
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;3;[1, 6, 9];[1, 6, 9];3
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;4;[1, 6, 9];[1, 6, 9];3
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;5;[1, 6, 9];[1, 6, 9];3
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;6;[1, 6, 9];[1, 6, 9];3
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;7;[1, 6, 9];[1, 6, 9];3
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;8;[1, 6, 9];[1, 6, 9];3
0.006478256764262435 0.00025347579072123596 0.006030337348078607 0.0013210572877097482 5.381931307237853e-05 0.007453997927594047 0.007210297433126312 0.01664657627188666 -0.013478007256679692 -0.003442608214816478;9;[1, 6, 9];[1, 6, 9];3
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;0;[8, 4];[8, 4];2
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;1;[8, 4];[8, 4];2
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;2;[8, 4];[8, 4];2
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;3;[8, 4];[8, 4];2
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;4;[8, 4];[8, 4];2
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;5;[8, 4];[8, 4];2
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;6;[8, 4];[8, 4];2
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;7;[8, 4];[8, 4];2
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;8;[8, 4];[8, 4];2
0.008555270200249442 0.00025421919838590766 0.004695065319357661 0.004341936723116979 0.0012869479718035314 0.003975262000867707 0.00412994875141095 0.017603161652541034 -0.009341153565379812 -0.00630531201868727;9;[8, 4];[8, 4];2
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;0;[];[];0
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;1;[];[];0
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;2;[];[];0
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;3;[];[];0
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;4;[];[];0
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;5;[];[];0
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;6;[];[];0
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;7;[];[];0
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;8;[];[];0
0.012349385459129647 0.0037449903522889017 0.006357847171737108 0.0002230097476514592 0.0012242391166347843 0.00952130504856974 0.004408737287381248 0.012225140593784812 -0.00994746545076739 0.00046856104518460117;9;[];[];0
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;0;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;1;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;2;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;3;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;4;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;5;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;6;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;7;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;8;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.01268725487829645 0.006728023216676804 0.010047429017611242 0.001222399257838469 0.004082812717012785 0.01188169244499655 0.006653799113510739 0.018366022309911755 -0.00723495347030616 0.005374233920379501;9;[0, 1, 3, 4, 5, 6];[0, 1, 3, 4, 5, 6];6
0.005833787839300486 0.0054902212003792306 0.011469462966164889 0.0031052113686494964 0.006549982749176642 0.008938002365881891 0.005541988925078756 0.015436461946516955 -0.02808029908793299 0.010825778643698492;0;[0, 1, 3, 4, 5, 6, 7, 8];[0, 1, 3, 4, 5, 6, 7, 8];8
0.005833787839300486 0.0054902212003792306 0.011469462966164889 0.0031052113686494964 0.006549982749176642 0.008938002365881891 0.005541988925078756 0.015436461946516955 -0.02808029908793299 0.010825778643698492;1;[0, 1, 3, 4, 5, 6, 7, 8];[0, 1, 3, 4, 5, 6, 7, 8];8
0.005833787839300486 0.0054902212003792306 0.011469462966164889 0.0031052113686494964 0.006549982749176642 0.008938002365881891 0.005541988925078756 0.015436461946516955 -0.02808029908793299 0.010825778643698492;2;[0, 1, 3, 4, 5, 6, 7, 8];[0, 1, 3, 4, 5, 6, 7, 8];8
0.005833787839300486 0.0054902212003792306 0.011469462966164889 0.0031052113686494964 0.006549982749176642 0.008938002365881891 0.005541988925078756 0.015436461946516955 -0.02808029908793299 0.010825778643698492;3;[0, 1, 3, 4, 5, 6, 7, 8];[0, 1, 3, 4, 5, 6, 7, 8];8
