context;influencer;regular_node_set_unique;regular_node_set_grouped;new_activations
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;2;[0, 1];[0, 1];2
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;3;[0, 1];[0, 1];2
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;4;[0, 1];[0, 1];2
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;5;[0, 1];[0, 1];2
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;6;[0, 1];[0, 1];2
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;7;[0, 1];[0, 1];2
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;8;[0, 1];[0, 1];2
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;9;[0, 1];[0, 1];2
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;0;[2, 5, 6];[2, 5, 6];3
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;1;[2, 5, 6];[2, 5, 6];3
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;2;[2, 5, 6];[2, 5, 6];3
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;3;[2, 5, 6];[2, 5, 6];3
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;4;[2, 5, 6];[2, 5, 6];3
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;5;[2, 5, 6];[2, 5, 6];3
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;6;[2, 5, 6];[2, 5, 6];3
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;7;[2, 5, 6];[2, 5, 6];3
